Running loss: 0.45708122849464417, z loss: 0.2082037776708603, y loss: 0.24887745082378387
Running loss: 0.4589514136314392, z loss: 0.21643739938735962, y loss: 0.2425140142440796
Running loss: 0.45159462094306946, z loss: 0.2105332612991333, y loss: 0.24106137454509735
Running loss: 0.4419730305671692, z loss: 0.20634162425994873, y loss: 0.23563140630722046
Running loss: 0.43666595220565796, z loss: 0.20866021513938904, y loss: 0.22800575196743011
Running loss: 0.4320240318775177, z loss: 0.21116220951080322, y loss: 0.22086182236671448
Running loss: 0.43126410245895386, z loss: 0.2126859873533249, y loss: 0.21857808530330658
Running loss: 0.4494568407535553, z loss: 0.22245371341705322, y loss: 0.22700311243534088
Running loss: 0.45372873544692993, z loss: 0.22733400762081146, y loss: 0.22639471292495728
Running loss: 0.4474445879459381, z loss: 0.21736736595630646, y loss: 0.23007719218730927
Running loss: 0.45079290866851807, z loss: 0.21989934146404266, y loss: 0.2308935523033142
Running loss: 0.4443569481372833, z loss: 0.2168252319097519, y loss: 0.22753168642520905
Running loss: 0.45161598920822144, z loss: 0.2224447876214981, y loss: 0.22917115688323975
Running loss: 0.4504317045211792, z loss: 0.22387287020683289, y loss: 0.22655880451202393
Running loss: 0.44364315271377563, z loss: 0.21959304809570312, y loss: 0.22405004501342773
Running loss: 0.44785648584365845, z loss: 0.21965563297271729, y loss: 0.22820080816745758
Running loss: 0.44516605138778687, z loss: 0.21572546660900116, y loss: 0.22944052517414093
Running loss: 0.44338685274124146, z loss: 0.21641288697719574, y loss: 0.22697393596172333
Running loss: 0.44568580389022827, z loss: 0.2214720994234085, y loss: 0.22421365976333618
Running loss: 0.4506145119667053, z loss: 0.22668275237083435, y loss: 0.22393174469470978
Running loss: 0.44232845306396484, z loss: 0.22665774822235107, y loss: 0.21567070484161377
Running loss: 0.4359644651412964, z loss: 0.22520282864570618, y loss: 0.21076162159442902
Running loss: 0.4259363114833832, z loss: 0.21660086512565613, y loss: 0.20933543145656586
Running loss: 0.43421512842178345, z loss: 0.2196265012025833, y loss: 0.21458859741687775
Running loss: 0.4376068115234375, z loss: 0.22833722829818726, y loss: 0.20926956832408905
Running loss: 0.4318023920059204, z loss: 0.22989092767238617, y loss: 0.20191144943237305
Running loss: 0.43368765711784363, z loss: 0.2310754656791687, y loss: 0.20261219143867493
Running loss: 0.4287247657775879, z loss: 0.22718793153762817, y loss: 0.20153683423995972
Running loss: 0.4288172721862793, z loss: 0.22012558579444885, y loss: 0.20869170129299164
Running loss: 0.4417889416217804, z loss: 0.22837504744529724, y loss: 0.21341389417648315
Running loss: 0.43570753931999207, z loss: 0.22174593806266785, y loss: 0.21396160125732422
Running loss: 0.43724676966667175, z loss: 0.2208457887172699, y loss: 0.21640098094940186
Running loss: 0.43103358149528503, z loss: 0.21707555651664734, y loss: 0.2139580398797989
Running loss: 0.4271378219127655, z loss: 0.2077224850654602, y loss: 0.2194153368473053
Running loss: 0.4227431118488312, z loss: 0.20397299528121948, y loss: 0.2187701165676117
Running loss: 0.4106006622314453, z loss: 0.19746118783950806, y loss: 0.21313947439193726
Running loss: 0.40290170907974243, z loss: 0.19561070203781128, y loss: 0.20729100704193115
Running loss: 0.3930530250072479, z loss: 0.19170641899108887, y loss: 0.20134657621383667
Running loss: 0.3859667181968689, z loss: 0.18869833648204803, y loss: 0.19726836681365967
Running loss: 0.3840300142765045, z loss: 0.1882084608078003, y loss: 0.19582155346870422
Running loss: 0.37748482823371887, z loss: 0.18407303094863892, y loss: 0.19341179728507996
Running loss: 0.36218103766441345, z loss: 0.1767122596502304, y loss: 0.18546879291534424
Running loss: 0.36640968918800354, z loss: 0.17931412160396576, y loss: 0.18709558248519897
Running loss: 0.37155428528785706, z loss: 0.18227234482765198, y loss: 0.18928194046020508
Running loss: 0.3897625803947449, z loss: 0.18699276447296143, y loss: 0.20276981592178345
Running loss: 0.37824246287345886, z loss: 0.18241924047470093, y loss: 0.19582323729991913
Running loss: 0.36973145604133606, z loss: 0.17729896306991577, y loss: 0.1924324929714203
Running loss: 0.38282936811447144, z loss: 0.18596653640270233, y loss: 0.1968628466129303
Running loss: 0.3876534104347229, z loss: 0.18876919150352478, y loss: 0.19888423383235931
Running loss: 0.3954472243785858, z loss: 0.1938345581293106, y loss: 0.2016126811504364
Running loss: 0.3951142728328705, z loss: 0.1924053132534027, y loss: 0.20270897448062897
Running loss: 0.38839229941368103, z loss: 0.19115017354488373, y loss: 0.1972421556711197
Running loss: 0.38674983382225037, z loss: 0.19000962376594543, y loss: 0.1967402547597885
Running loss: 0.3837966024875641, z loss: 0.18682017922401428, y loss: 0.1969764679670334
Running loss: 0.3927649259567261, z loss: 0.2008248269557953, y loss: 0.19194012880325317
Running loss: 0.3941534757614136, z loss: 0.2009747475385666, y loss: 0.19317874312400818
Running loss: 0.39205098152160645, z loss: 0.19913825392723083, y loss: 0.1929127424955368
Running loss: 0.3920048773288727, z loss: 0.2029293030500412, y loss: 0.18907558917999268
Running loss: 0.39413323998451233, z loss: 0.20639951527118683, y loss: 0.1877337247133255
Running loss: 0.3847649395465851, z loss: 0.20116505026817322, y loss: 0.18359988927841187
Running loss: 0.38851118087768555, z loss: 0.2101770043373108, y loss: 0.17833417654037476
Running loss: 0.39136651158332825, z loss: 0.21484634280204773, y loss: 0.1765201836824417
Running loss: 0.3771422505378723, z loss: 0.20715855062007904, y loss: 0.16998368501663208
Running loss: 0.38247331976890564, z loss: 0.2078995257616043, y loss: 0.17457379400730133
Running loss: 0.39463168382644653, z loss: 0.21091200411319733, y loss: 0.1837196946144104
Running loss: 0.39279329776763916, z loss: 0.20499111711978912, y loss: 0.18780221045017242
